                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2417,                0.81345,                 1.1134,                 1.3637,                0.85365,                 1.0816,                0.54686,                0.56952,                0.60828,                0.39026,                 1.2215,                0.73725,                 1.1201,                 1.3137,                0.71031,                 1.0857,             0.00075904,             0.00075904,             0.00075904
                     35,                  1.247,                0.81969,                 1.1149,                 1.3639,                0.85863,                 1.0817,                0.71913,                0.55995,                0.60921,                0.39344,                 1.2203,                0.73392,                 1.1249,                 1.3114,                0.69963,                 1.0822,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.2442,                0.81469,                 1.1126,                 1.3689,                0.86359,                  1.079,                0.59161,                0.56695,                0.61125,                0.39427,                 1.2229,                0.73477,                 1.1225,                 1.3116,                0.70569,                 1.0872,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.2427,                0.81299,                 1.1115,                 1.3653,                0.85341,                 1.0788,                0.90645,                0.55421,                0.61286,                0.39613,                 1.2247,                0.72936,                 1.1166,                 1.3132,                0.69864,                  1.084,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.2419,                0.80915,                 1.1102,                  1.362,                0.84627,                 1.0779,                0.89737,                0.55067,                0.60676,                0.39046,                  1.224,                0.74131,                 1.1206,                  1.308,                0.71566,                 1.0827,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.2353,                0.80481,                 1.1084,                  1.355,                0.84538,                 1.0795,                0.57228,                0.55946,                0.61255,                0.39425,                  1.222,                0.72246,                 1.1182,                 1.3107,                0.70487,                  1.086,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.2406,                0.80115,                 1.1065,                 1.3611,                0.83548,                 1.0775,                0.60007,                0.57308,                0.61298,                0.39602,                 1.2201,                0.72157,                 1.1225,                  1.309,                0.68574,                 1.0906,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.2389,                0.80634,                 1.1125,                 1.3616,                 0.8442,                  1.086,                0.62005,                0.56881,                0.61256,                 0.3902,                  1.226,                0.72692,                 1.1225,                 1.3166,                0.70176,                  1.094,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.2314,                0.79846,                 1.1052,                 1.3534,                0.82893,                 1.0793,                0.62884,                0.55924,                0.61125,                0.39139,                 1.2163,                0.73408,                 1.1206,                 1.2999,                0.71266,                 1.0821,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.2403,                0.80885,                 1.1077,                 1.3595,                0.84378,                 1.0734,                0.66315,                0.56598,                0.61451,                0.39899,                 1.2173,                0.72493,                 1.1127,                 1.3056,                0.69014,                  1.084,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.2445,                 0.7983,                  1.103,                 1.3625,                0.83936,                 1.0755,                0.57188,                0.56453,                0.61201,                0.39611,                 1.2141,                0.72815,                 1.1133,                 1.3024,                0.69382,                 1.0848,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.2327,                  0.799,                 1.1075,                 1.3515,                0.83215,                 1.0773,                0.59769,                0.57026,                0.61358,                0.39654,                 1.2134,                0.71706,                 1.1148,                 1.3026,                0.69044,                 1.0868,             0.00063805,             0.00063805,             0.00063805
                     46,                  1.235,                 0.7934,                 1.1052,                 1.3536,                0.83308,                 1.0727,                0.59657,                0.55939,                0.61481,                0.39801,                 1.2204,                0.72816,                 1.1161,                  1.303,                0.68903,                  1.081,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.2287,                0.80233,                 1.1045,                 1.3493,                0.83953,                 1.0696,                0.60023,                0.56054,                0.61191,                0.39707,                 1.2174,                0.72039,                 1.1124,                 1.3032,                0.68942,                 1.0789,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.2306,                0.79208,                 1.1045,                 1.3495,                0.81903,                 1.0742,                0.60299,                0.55613,                 0.6138,                0.39873,                 1.2203,                0.72187,                 1.1192,                 1.3051,                0.67939,                 1.0833,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.2234,                0.78814,                  1.103,                 1.3392,                0.81291,                 1.0724,                0.59255,                0.58019,                0.61382,                0.39863,                 1.2144,                0.71963,                 1.1076,                 1.2993,                0.68635,                 1.0801,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.2279,                0.78773,                 1.0996,                 1.3466,                0.81771,                 1.0741,                0.58163,                  0.587,                0.61857,                0.40245,                 1.2126,                0.71847,                 1.1077,                 1.2976,                0.68428,                  1.082,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.2353,                0.79896,                 1.1031,                  1.356,                 0.8359,                 1.0724,                0.58214,                0.57475,                0.61355,                0.39887,                 1.2102,                0.72084,                 1.1119,                 1.2978,                0.67842,                 1.0807,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.2199,                0.78106,                 1.0972,                 1.3366,                0.81727,                 1.0692,                0.60551,                0.57211,                0.61483,                0.40007,                 1.2165,                0.71709,                 1.1153,                 1.2955,                0.68373,                 1.0846,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.2238,                0.79066,                 1.0958,                  1.346,                0.82668,                 1.0644,                0.58683,                0.55523,                0.61518,                0.40158,                 1.2106,                0.71913,                 1.1097,                 1.2954,                 0.6825,                 1.0772,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.2202,                0.78261,                  1.099,                 1.3337,                0.81689,                 1.0696,                0.57481,                0.56229,                  0.615,                0.39965,                 1.2088,                0.71576,                 1.1115,                 1.2953,                0.67636,                 1.0834,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.2214,                0.78307,                 1.0959,                 1.3397,                0.81662,                 1.0673,                0.58304,                0.56054,                0.61278,                0.39769,                 1.2123,                0.71529,                 1.1078,                 1.3007,                0.67664,                  1.081,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.2247,                0.78535,                 1.0995,                   1.34,                0.81285,                 1.0754,                0.57164,                0.56877,                0.61555,                0.40053,                 1.2115,                0.71589,                 1.1109,                 1.2954,                0.67649,                 1.0857,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.2266,                0.78532,                 1.0989,                 1.3448,                0.82762,                 1.0677,                0.58166,                0.55619,                0.61298,                0.39833,                 1.2143,                0.71081,                 1.1093,                  1.293,                0.68739,                 1.0769,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.2155,                0.77609,                 1.0956,                 1.3289,                0.80417,                 1.0656,                 0.5781,                0.56269,                0.61351,                0.39758,                 1.2092,                0.71193,                 1.1046,                  1.297,                0.68035,                 1.0727,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.2193,                0.78426,                 1.0943,                 1.3372,                0.81479,                 1.0625,                0.58789,                0.57263,                0.61386,                0.39974,                 1.2063,                 0.7106,                 1.1074,                 1.2875,                  0.676,                 1.0722,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.2208,                0.78025,                 1.0925,                 1.3363,                0.81123,                 1.0645,                 0.5674,                0.56819,                0.61472,                0.39905,                 1.2094,                 0.7135,                 1.1083,                 1.2907,                0.68049,                 1.0775,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.2187,                0.77611,                 1.0922,                 1.3351,                0.80713,                 1.0667,                0.60078,                0.56076,                0.61522,                0.39963,                 1.2097,                0.71153,                 1.1088,                 1.2871,                0.68552,                 1.0821,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.2204,                 0.7769,                 1.0926,                 1.3357,                0.80512,                 1.0636,                0.59474,                0.57986,                0.61612,                0.40039,                 1.2109,                0.71249,                 1.1086,                 1.2929,                0.68068,                 1.0771,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.2229,                0.79236,                 1.0984,                 1.3445,                0.82467,                  1.069,                0.58445,                0.55905,                0.61459,                 0.4008,                  1.207,                0.71832,                 1.1075,                 1.2887,                0.67985,                 1.0765,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.2146,                0.77877,                 1.0915,                 1.3335,                0.81519,                 1.0599,                0.58429,                0.56107,                0.61371,                0.40034,                 1.2093,                0.71276,                 1.1068,                 1.2915,                0.68712,                 1.0699,             0.00042907,             0.00042907,             0.00042907
                     65,                 1.2145,                0.77944,                 1.0905,                 1.3328,                0.80855,                 1.0603,                0.59914,                0.57661,                0.61565,                0.40025,                 1.2087,                0.71705,                 1.1097,                 1.2911,                  0.688,                 1.0729,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.2115,                0.77022,                 1.0899,                 1.3306,                0.80575,                 1.0589,                 0.5836,                0.57693,                0.61539,                0.40188,                 1.2057,                0.71368,                 1.1061,                 1.2873,                0.68913,                 1.0719,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.2159,                 0.7779,                 1.0908,                 1.3326,                0.81118,                 1.0586,                0.57903,                0.56769,                0.61487,                0.40154,                 1.2081,                0.70944,                  1.108,                 1.2921,                 0.6814,                 1.0707,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.2074,                0.77318,                 1.0907,                 1.3216,                0.80365,                 1.0579,                0.59694,                0.57507,                0.61502,                 0.4007,                 1.2066,                0.70651,                  1.105,                 1.2881,                0.67869,                 1.0672,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.2101,                0.77426,                 1.0921,                 1.3236,                0.79775,                  1.057,                0.58683,                0.55946,                0.61642,                0.40286,                 1.2066,                0.71118,                 1.1063,                 1.2897,                0.68001,                 1.0669,             0.00037407,             0.00037407,             0.00037407
                     70,                 1.2059,                0.76705,                 1.0892,                 1.3201,                0.79807,                 1.0561,                0.58378,                0.58859,                0.61554,                0.40197,                 1.2095,                0.70746,                 1.1045,                   1.29,                0.67905,                  1.072,             0.00036307,             0.00036307,             0.00036307
                     71,                 1.2028,                0.76676,                 1.0889,                 1.3149,                0.79951,                 1.0582,                0.60052,                0.56264,                0.61589,                0.40293,                 1.2067,                0.71069,                 1.1047,                 1.2899,                0.67713,                  1.074,             0.00035208,             0.00035208,             0.00035208
                     72,                 1.2078,                0.76653,                 1.0891,                 1.3195,                0.79561,                 1.0584,                0.57265,                0.58461,                 0.6162,                0.40378,                 1.2033,                0.70754,                 1.1049,                 1.2845,                0.67914,                 1.0712,             0.00034108,             0.00034108,             0.00034108
                     73,                 1.2119,                0.76729,                 1.0887,                 1.3223,                0.79797,                 1.0548,                0.56292,                0.58582,                0.61522,                0.40233,                 1.2061,                0.70926,                 1.1028,                 1.2833,                0.68585,                 1.0652,             0.00033008,             0.00033008,             0.00033008
                     74,                 1.2035,                0.76733,                 1.0847,                 1.3175,                0.79733,                 1.0555,                0.58022,                 0.5638,                0.61532,                0.40271,                 1.2034,                0.71191,                  1.103,                 1.2856,                0.68944,                 1.0714,             0.00031908,             0.00031908,             0.00031908
                     75,                 1.2046,                0.76332,                 1.0836,                 1.3185,                0.78978,                 1.0534,                 0.5569,                0.58171,                0.61463,                0.40158,                 1.2059,                0.71033,                 1.1017,                 1.2879,                0.68671,                 1.0708,             0.00030808,             0.00030808,             0.00030808
                     76,                 1.2039,                0.76463,                  1.086,                 1.3118,                0.78989,                 1.0565,                0.58951,                0.57644,                 0.6157,                0.40217,                 1.2061,                0.71128,                 1.1027,                 1.2833,                0.68141,                 1.0699,             0.00029708,             0.00029708,             0.00029708
                     77,                 1.2036,                0.76247,                 1.0855,                 1.3163,                0.78192,                 1.0575,                0.58436,                0.56174,                0.61486,                0.40209,                  1.203,                  0.708,                 1.1005,                  1.286,                0.67891,                 1.0708,             0.00028608,             0.00028608,             0.00028608
                     78,                 1.1959,                0.75917,                 1.0789,                  1.306,                0.78353,                 1.0498,                0.58825,                0.55734,                0.61535,                0.40285,                 1.2042,                0.70752,                 1.1016,                 1.2817,                0.68443,                 1.0676,             0.00027508,             0.00027508,             0.00027508
                     79,                 1.1994,                0.75951,                 1.0839,                 1.3157,                0.78205,                 1.0549,                0.58384,                0.56035,                0.61627,                0.40283,                 1.2023,                 0.7073,                 1.0992,                 1.2864,                0.68204,                  1.068,             0.00026408,             0.00026408,             0.00026408
                     80,                 1.1986,                0.75958,                 1.0854,                 1.3095,                0.78136,                 1.0564,                0.58991,                0.55443,                 0.6164,                0.40453,                 1.2029,                0.70546,                 1.0997,                 1.2848,                0.67593,                 1.0678,             0.00025309,             0.00025309,             0.00025309
                     81,                 1.1959,                0.75513,                 1.0797,                 1.3129,                0.77834,                  1.053,                0.57591,                0.58996,                0.61609,                0.40316,                 1.2034,                0.70699,                 1.1004,                  1.287,                0.68049,                 1.0695,             0.00024209,             0.00024209,             0.00024209
                     82,                 1.2019,                0.75405,                  1.079,                  1.316,                0.78154,                 1.0496,                0.58648,                0.58917,                0.61595,                0.40347,                 1.2045,                0.70588,                 1.1009,                 1.2878,                0.68008,                 1.0684,             0.00023109,             0.00023109,             0.00023109
                     83,                 1.2008,                0.75431,                  1.078,                 1.3137,                0.78195,                 1.0494,                0.58806,                0.59342,                0.61601,                0.40348,                 1.2044,                0.70591,                 1.1012,                 1.2866,                0.67967,                 1.0694,             0.00022009,             0.00022009,             0.00022009
                     84,                 1.1933,                0.75635,                 1.0817,                 1.3057,                0.78465,                 1.0551,                0.59884,                0.57065,                0.61489,                0.40188,                 1.2063,                0.70755,                 1.1026,                 1.2874,                 0.6763,                 1.0732,             0.00020909,             0.00020909,             0.00020909
                     85,                 1.1933,                0.75013,                 1.0777,                 1.3077,                0.77564,                 1.0528,                 0.5641,                0.58753,                0.61518,                0.40238,                 1.2047,                0.70719,                  1.101,                 1.2869,                0.68005,                 1.0716,             0.00019809,             0.00019809,             0.00019809
                     86,                 1.1897,                0.75444,                 1.0756,                 1.2989,                0.78204,                 1.0447,                0.56675,                0.58015,                0.61691,                0.40286,                 1.2041,                0.70738,                 1.0998,                  1.286,                0.67819,                 1.0668,             0.00018709,             0.00018709,             0.00018709
                     87,                 1.1911,                0.75696,                 1.0791,                 1.3042,                0.78436,                 1.0501,                  0.584,                0.57424,                0.61637,                0.40235,                 1.2058,                0.70709,                 1.0997,                 1.2882,                 0.6804,                 1.0652,             0.00017609,             0.00017609,             0.00017609
                     88,                 1.1927,                0.75595,                 1.0828,                  1.301,                0.78353,                 1.0496,                0.58133,                0.57675,                0.61635,                0.40287,                 1.2047,                0.70708,                 1.1007,                 1.2833,                0.68112,                 1.0646,             0.00016509,             0.00016509,             0.00016509
                     89,                  1.191,                0.75088,                 1.0778,                 1.3021,                0.77605,                 1.0463,                0.58926,                 0.5769,                0.61593,                0.40321,                 1.2028,                 0.7046,                 1.0991,                 1.2819,                0.67969,                 1.0629,              0.0001541,              0.0001541,              0.0001541
                     90,                 1.1971,                0.75532,                 1.0769,                 1.3051,                0.78046,                 1.0469,                0.59981,                0.56089,                0.61579,                0.40288,                 1.2031,                0.70601,                  1.099,                 1.2856,                0.67773,                  1.066,              0.0001431,              0.0001431,              0.0001431
                     91,                 1.1881,                0.71259,                 1.0876,                 1.2859,                0.68536,                 1.0629,                0.57638,                0.57347,                0.61324,                0.39743,                 1.2116,                0.71996,                 1.1025,                 1.3003,                0.68146,                 1.0751,              0.0001321,              0.0001321,              0.0001321
                     92,                 1.1799,                 0.7008,                 1.0842,                 1.2762,                0.68251,                 1.0562,                0.57226,                0.56699,                0.61249,                0.39792,                 1.2133,                0.72292,                 1.1026,                 1.2987,                0.68786,                  1.076,              0.0001211,              0.0001211,              0.0001211
                     93,                  1.183,                0.70324,                 1.0843,                  1.273,                0.67045,                 1.0501,                0.58764,                0.56762,                0.61259,                0.39706,                  1.214,                0.72119,                 1.1037,                 1.2989,                0.68838,                 1.0758,              0.0001101,              0.0001101,              0.0001101
                     94,                 1.1813,                0.70461,                 1.0813,                 1.2741,                0.67778,                 1.0487,                0.59483,                0.56106,                  0.613,                 0.3971,                 1.2143,                0.72151,                 1.1046,                 1.2994,                0.68467,                 1.0736,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                 1.1776,                 0.6977,                 1.0836,                 1.2683,                 0.6669,                 1.0468,                 0.5877,                0.57784,                0.61309,                0.39764,                 1.2138,                0.72098,                  1.104,                 1.2972,                 0.6849,                 1.0712,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                 1.1767,                0.69779,                 1.0805,                 1.2678,                0.66933,                 1.0454,                0.58281,                0.57196,                0.61347,                0.39831,                 1.2141,                0.71942,                 1.1032,                 1.2983,                0.68235,                 1.0715,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                 1.1748,                0.69363,                 1.0819,                 1.2635,                0.66616,                 1.0489,                0.58928,                0.57892,                0.61342,                 0.3979,                  1.213,                0.71958,                 1.1023,                 1.2984,                0.68673,                 1.0697,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                 1.1755,                0.69586,                 1.0816,                 1.2659,                0.67048,                 1.0486,                0.58603,                0.57758,                0.61313,                0.39835,                 1.2126,                0.72004,                 1.1026,                 1.2966,                0.68835,                 1.0699,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                 1.1759,                0.69207,                 1.0798,                  1.263,                0.66089,                 1.0475,                0.57686,                0.58814,                 0.6133,                0.39862,                 1.2118,                0.71957,                 1.1017,                 1.2964,                0.68729,                 1.0711,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                  1.173,                0.69124,                 1.0785,                 1.2625,                0.65726,                 1.0449,                0.58283,                0.58568,                0.61384,                0.39856,                 1.2124,                0.71877,                 1.1024,                 1.2974,                0.68464,                 1.0717,             3.3108e-05,             3.3108e-05,             3.3108e-05
