                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0665,                0.53918,                  1.145,                 1.1773,                 0.5749,                 1.1468,                0.95798,                0.60463,                0.64513,                 0.4414,                 1.1372,                0.50713,                 1.2298,                 1.1928,                0.50416,                 1.2392,             0.00040707,             0.00040707,             0.00040707
                     35,                 1.0621,                0.53087,                 1.1401,                 1.1766,                0.56472,                 1.1403,                0.95528,                0.60921,                0.64828,                0.44357,                 1.1302,                0.50073,                 1.2287,                 1.1878,                0.49826,                 1.2371,             0.00038507,             0.00038507,             0.00038507
                     36,                  1.057,                0.53443,                 1.1387,                 1.1746,                0.56785,                 1.1419,                0.95352,                0.61153,                0.64822,                0.44355,                 1.1361,                 0.5041,                 1.2302,                 1.1964,                0.50759,                 1.2414,             0.00036307,             0.00036307,             0.00036307
                     37,                 1.0516,                0.52867,                 1.1366,                 1.1652,                  0.558,                 1.1379,                0.95782,                0.60882,                0.64588,                 0.4436,                 1.1355,                0.49569,                 1.2315,                 1.1909,                0.49106,                 1.2397,             0.00034108,             0.00034108,             0.00034108
                     38,                 1.0394,                0.51513,                 1.1231,                 1.1475,                0.54228,                 1.1261,                0.95009,                0.61902,                0.64514,                0.44192,                 1.1374,                0.49751,                 1.2306,                  1.191,                0.49299,                 1.2406,             0.00031908,             0.00031908,             0.00031908
                     39,                 1.0318,                0.51829,                 1.1221,                 1.1418,                 0.5437,                 1.1266,                0.96126,                0.60825,                0.64763,                0.44376,                 1.1338,                 0.4976,                 1.2293,                 1.1849,                 0.4909,                 1.2385,             0.00029708,             0.00029708,             0.00029708
                     40,                 1.0311,                0.51184,                 1.1178,                 1.1421,                0.53676,                 1.1201,                0.95284,                0.61255,                 0.6475,                0.44439,                 1.1316,                0.49697,                 1.2297,                 1.1882,                0.49177,                 1.2369,             0.00027508,             0.00027508,             0.00027508
                     41,                 1.0226,                0.46414,                  1.139,                 1.0975,                0.43846,                 1.1383,                0.95521,                0.61223,                0.64678,                0.44347,                 1.1293,                0.49698,                  1.226,                 1.1843,                0.49488,                 1.2342,             0.00025309,             0.00025309,             0.00025309
                     42,                 1.0093,                0.45295,                 1.1351,                 1.0789,                 0.4293,                  1.135,                0.94901,                 0.6193,                0.64614,                0.44574,                  1.124,                0.49162,                 1.2263,                 1.1797,                0.49163,                 1.2341,             0.00023109,             0.00023109,             0.00023109
                     43,                0.99637,                0.44832,                 1.1286,                 1.0674,                0.42294,                 1.1278,                 0.9566,                0.60877,                0.64816,                0.44519,                 1.1277,                0.49114,                 1.2284,                 1.1891,                0.48915,                  1.236,             0.00020909,             0.00020909,             0.00020909
                     44,                0.98587,                0.44117,                 1.1198,                 1.0551,                0.41626,                 1.1171,                0.95855,                0.60981,                0.64892,                0.44648,                  1.128,                0.49041,                 1.2262,                 1.1858,                0.49435,                 1.2359,             0.00018709,             0.00018709,             0.00018709
                     45,                0.97975,                0.43426,                  1.115,                 1.0531,                0.41159,                 1.1145,                0.95575,                0.61475,                0.64633,                0.44481,                   1.13,                0.49156,                 1.2296,                 1.1861,                0.49708,                 1.2364,             0.00016509,             0.00016509,             0.00016509
                     46,                0.96855,                0.42977,                 1.1068,                 1.0402,                0.40582,                 1.1051,                0.95232,                0.61604,                0.64634,                0.44375,                 1.1302,                0.49196,                 1.2296,                 1.1887,                0.49581,                 1.2384,              0.0001431,              0.0001431,              0.0001431
                     47,                0.96007,                0.42598,                 1.1046,                 1.0351,                0.40132,                 1.1008,                0.95044,                 0.6173,                0.64662,                0.44625,                 1.1269,                0.48933,                 1.2299,                  1.185,                0.49235,                 1.2364,              0.0001211,              0.0001211,              0.0001211
                     48,                0.95196,                0.42039,                 1.0953,                 1.0229,                0.39392,                 1.0935,                0.95388,                0.61486,                0.64653,                0.44563,                 1.1267,                0.48924,                 1.2333,                  1.185,                0.49101,                 1.2416,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.94123,                0.41398,                 1.0935,                 1.0078,                0.38537,                 1.0923,                0.95095,                0.61738,                0.64577,                0.44605,                 1.1243,                0.48849,                 1.2283,                 1.1856,                 0.4907,                  1.239,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.93282,                 0.4107,                 1.0889,                 1.0019,                 0.3874,                 1.0877,                0.95324,                0.61401,                 0.6459,                0.44524,                 1.1213,                0.48547,                 1.2288,                 1.1818,                0.49314,                 1.2387,             5.5106e-05,             5.5106e-05,             5.5106e-05
