                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 2.2448,                 2.4773,                 1.8167,                 2.1966,                 2.9641,                 1.6067,                0.58793,                0.16391,                0.14593,                0.06429,                 2.1255,                   2.35,                 1.7641,                 2.0619,                 2.8358,                 1.5477,             0.00042907,             0.00042907,             0.00042907
                     34,                 2.2355,                 2.4492,                 1.8031,                 2.2011,                 2.9625,                  1.586,                0.58996,                0.15575,                0.14084,                0.06202,                 2.1251,                 2.3555,                 1.7781,                 2.0299,                 2.8766,                 1.5525,             0.00040707,             0.00040707,             0.00040707
                     35,                 2.2376,                 2.4553,                 1.7927,                 2.1933,                 2.9678,                 1.5702,                0.59719,                0.16117,                0.14825,                0.06497,                 2.1205,                 2.3411,                 1.7684,                 2.0368,                 2.8497,                 1.5242,             0.00038507,             0.00038507,             0.00038507
                     36,                 2.2279,                 2.4536,                 1.7914,                 2.1756,                 2.9484,                 1.5667,                0.58948,                0.16674,                0.15087,                 0.0676,                 2.0991,                 2.3162,                 1.7393,                 2.0301,                 2.8095,                 1.5168,             0.00036307,             0.00036307,             0.00036307
                     37,                  2.234,                  2.431,                 1.7753,                 2.1862,                   2.94,                 1.5594,                0.57953,                0.16253,                0.14688,                0.06672,                 2.1186,                 2.3329,                 1.7521,                 2.0336,                 2.8314,                 1.5272,             0.00034108,             0.00034108,             0.00034108
                     38,                 2.2142,                 2.4221,                 1.7762,                 2.1833,                 2.9256,                 1.5614,                0.58279,                0.16539,                0.14632,                0.06681,                 2.1064,                 2.3117,                 1.7399,                 2.0236,                 2.8243,                 1.5211,             0.00031908,             0.00031908,             0.00031908
                     39,                 2.2198,                 2.4173,                 1.7804,                 2.1809,                 2.9232,                 1.5713,                 0.5788,                0.17134,                0.14818,                0.06821,                 2.0982,                 2.3108,                 1.7331,                 2.0176,                 2.8252,                 1.5219,             0.00029708,             0.00029708,             0.00029708
                     40,                 2.2009,                 2.3844,                 1.7582,                 2.1766,                 2.8828,                 1.5498,                 0.5846,                0.16685,                0.15108,                0.06878,                 2.0894,                  2.299,                  1.733,                 2.0266,                 2.7974,                 1.5153,             0.00027508,             0.00027508,             0.00027508
                     41,                 2.2145,                 2.4113,                 1.7653,                 2.1713,                  2.912,                 1.5399,                0.58358,                0.17389,                0.15637,                0.07202,                 2.0949,                 2.2644,                 1.7193,                  2.005,                 2.7756,                 1.5029,             0.00025309,             0.00025309,             0.00025309
                     42,                 2.2011,                 2.3994,                 1.7593,                 2.1501,                 2.9009,                 1.5452,                0.59445,                0.16654,                0.15254,                0.06951,                 2.0965,                  2.306,                 1.7301,                 2.0313,                 2.8169,                 1.5182,             0.00023109,             0.00023109,             0.00023109
                     43,                 2.1885,                 2.3846,                  1.753,                 2.1509,                 2.8835,                 1.5485,                0.58066,                0.16599,                0.14995,                0.06968,                 2.0895,                 2.3026,                 1.7234,                 2.0149,                 2.7966,                 1.5209,             0.00020909,             0.00020909,             0.00020909
                     44,                 2.1907,                 2.3753,                 1.7391,                 2.1497,                 2.8921,                  1.529,                0.58755,                0.17375,                0.15686,                0.07276,                 2.0823,                 2.2805,                 1.7165,                 2.0112,                 2.7859,                 1.5061,             0.00018709,             0.00018709,             0.00018709
                     45,                  2.186,                 2.3572,                 1.7369,                 2.1376,                  2.879,                 1.5326,                0.59137,                 0.1727,                0.15771,                0.07295,                 2.0794,                 2.2666,                 1.7174,                 2.0007,                 2.7781,                 1.5115,             0.00016509,             0.00016509,             0.00016509
                     46,                 2.1875,                 2.3669,                 1.7454,                  2.143,                 2.8879,                 1.5281,                0.59958,                0.17281,                0.15628,                0.07238,                  2.082,                 2.2789,                 1.7152,                 1.9946,                 2.7942,                 1.4977,              0.0001431,              0.0001431,              0.0001431
                     47,                 2.1844,                 2.3599,                 1.7322,                 2.1488,                  2.881,                 1.5274,                0.58651,                0.17295,                0.15627,                0.07303,                  2.087,                 2.2739,                 1.7087,                 1.9978,                 2.7894,                 1.4926,              0.0001211,              0.0001211,              0.0001211
                     48,                 2.1815,                 2.3411,                 1.7246,                 2.1466,                 2.8513,                 1.5259,                0.59138,                0.17293,                0.15964,                 0.0741,                 2.0752,                 2.2765,                 1.7093,                 2.0033,                 2.7782,                 1.4977,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                 2.1873,                  2.365,                 1.7339,                 2.1451,                 2.8686,                 1.5232,                0.59366,                0.16922,                0.15928,                0.07432,                 2.0823,                 2.2667,                 1.7012,                 1.9931,                 2.7821,                 1.4954,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                 2.1917,                 2.3672,                 1.7334,                 2.1502,                 2.8861,                 1.5231,                0.58803,                0.17654,                 0.1589,                 0.0739,                 2.0898,                 2.2769,                 1.7014,                 1.9832,                 2.7877,                 1.4892,             5.5106e-05,             5.5106e-05,             5.5106e-05
