                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.0356,                0.50088,                 1.0034,                  1.139,                 0.5122,                 1.0192,                0.67102,                0.62279,                 0.6473,                0.44342,                 1.1376,                0.49408,                  1.073,                 1.1844,                0.49938,                 1.0921,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.0277,                0.49605,                 1.0006,                 1.1327,                  0.504,                 1.0155,                 0.6203,                0.61259,                 0.6434,                0.44023,                  1.142,                0.50329,                 1.0743,                 1.1933,                0.51674,                 1.0954,             0.00042907,             0.00042907,             0.00042907
                     65,                 1.0262,                0.49164,                0.99901,                 1.1289,                0.50054,                 1.0156,                0.63938,                0.64373,                0.65131,                0.44584,                 1.1373,                0.50279,                  1.075,                 1.1845,                0.51276,                  1.095,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.0214,                 0.4869,                 1.0013,                 1.1228,                0.49664,                  1.015,                0.63546,                0.64338,                 0.6492,                 0.4428,                 1.1436,                0.50151,                 1.0808,                 1.1902,                0.50901,                  1.098,             0.00040707,             0.00040707,             0.00040707
                     67,                   1.02,                0.48759,                0.99676,                 1.1245,                  0.496,                  1.011,                0.61817,                0.61892,                0.64344,                0.44154,                 1.1408,                0.50409,                 1.0781,                  1.189,                0.51239,                 1.0981,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.0123,                0.48109,                0.99793,                 1.1084,                0.48559,                 1.0143,                0.62413,                0.63064,                  0.645,                0.44204,                 1.1381,                0.49659,                 1.0754,                 1.1849,                0.50245,                 1.0977,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.0131,                0.48156,                0.99745,                 1.1095,                0.48378,                 1.0147,                0.63086,                0.63834,                0.64585,                0.44245,                 1.1457,                0.49465,                 1.0791,                 1.1918,                0.50991,                 1.0996,             0.00037407,             0.00037407,             0.00037407
                     70,                  1.007,                0.47733,                0.99777,                 1.1067,                0.48179,                 1.0113,                0.63531,                0.63177,                0.64673,                0.44302,                 1.1478,                0.49754,                 1.0836,                 1.1902,                0.50985,                 1.1008,             0.00036307,             0.00036307,             0.00036307
                     71,                0.99992,                0.47412,                0.99599,                 1.0963,                0.47702,                 1.0113,                0.62323,                0.61381,                0.64353,                0.44259,                 1.1411,                0.49783,                 1.0807,                 1.1887,                 0.5137,                 1.0987,             0.00035208,             0.00035208,             0.00035208
                     72,                 1.0048,                0.47184,                0.99387,                 1.1002,                0.47351,                 1.0089,                0.62103,                0.64342,                0.64544,                0.44386,                 1.1402,                0.49897,                 1.0765,                 1.1826,                0.51843,                 1.0944,             0.00034108,             0.00034108,             0.00034108
                     73,                 1.0041,                0.47191,                0.99263,                 1.1036,                0.47291,                   1.01,                0.62204,                0.63035,                0.64305,                0.44145,                 1.1382,                 0.5001,                 1.0763,                 1.1855,                0.51217,                 1.0971,             0.00033008,             0.00033008,             0.00033008
                     74,                0.99919,                0.47001,                0.98965,                 1.1013,                0.47056,                 1.0067,                0.62259,                0.61145,                0.64238,                0.43995,                  1.143,                0.49848,                 1.0772,                 1.1898,                0.51804,                 1.0968,             0.00031908,             0.00031908,             0.00031908
                     75,                0.99483,                0.47057,                0.98537,                 1.0954,                0.47809,                 1.0015,                0.64022,                 0.6328,                 0.6461,                0.44248,                 1.1421,                0.49535,                 1.0778,                 1.1873,                0.51173,                 1.0979,             0.00030808,             0.00030808,             0.00030808
                     76,                0.99367,                0.46492,                 0.9902,                 1.0883,                0.46623,                 1.0065,                0.66562,                 0.6277,                0.64587,                0.44281,                 1.1429,                0.49843,                 1.0795,                 1.1912,                0.51628,                 1.0985,             0.00029708,             0.00029708,             0.00029708
